"Tabela 8888 - Produção Física Industrial, por seções e atividades industriais"
"Brasil","dezembro 2004","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","140.56058"
"Brasil","janeiro 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","114.84833"
"Brasil","fevereiro 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","111.49130"
"Brasil","março 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","145.68401"
"Brasil","abril 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","154.43533"
"Brasil","maio 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","174.52414"
"Brasil","junho 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","180.39497"
"Brasil","julho 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","167.49402"
"Brasil","agosto 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","168.97274"
"Brasil","setembro 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","166.59941"
"Brasil","outubro 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","167.81260"
"Brasil","novembro 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","175.39340"
"Brasil","dezembro 2005","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","159.17203"
"Brasil","janeiro 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","144.89017"
"Brasil","fevereiro 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","146.24979"
"Brasil","março 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","191.28145"
"Brasil","abril 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","172.85407"
"Brasil","maio 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","181.83192"
"Brasil","junho 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","169.71822"
"Brasil","julho 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","173.58941"
"Brasil","agosto 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","177.24320"
"Brasil","setembro 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","185.02038"
"Brasil","outubro 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","190.37025"
"Brasil","novembro 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","206.42195"
"Brasil","dezembro 2006","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","159.82947"
"Brasil","janeiro 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","147.72052"
"Brasil","fevereiro 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","151.26500"
"Brasil","março 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","183.52937"
"Brasil","abril 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","166.71148"
"Brasil","maio 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","182.84088"
"Brasil","junho 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","168.30616"
"Brasil","julho 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","178.55988"
"Brasil","agosto 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","186.59254"
"Brasil","setembro 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","186.17787"
"Brasil","outubro 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","215.78948"
"Brasil","novembro 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","225.65573"
"Brasil","dezembro 2007","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","182.89649"
"Brasil","janeiro 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","150.60604"
"Brasil","fevereiro 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","166.77042"
"Brasil","março 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","183.12291"
"Brasil","abril 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","190.94666"
"Brasil","maio 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","180.55909"
"Brasil","junho 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","190.80362"
"Brasil","julho 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","192.21399"
"Brasil","agosto 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","178.43099"
"Brasil","setembro 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","193.67243"
"Brasil","outubro 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","210.81117"
"Brasil","novembro 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","176.28985"
"Brasil","dezembro 2008","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","98.46568"
"Brasil","janeiro 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","95.90060"
"Brasil","fevereiro 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","105.50114"
"Brasil","março 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","131.82076"
"Brasil","abril 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","117.89981"
"Brasil","maio 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","132.97402"
"Brasil","junho 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","140.97586"
"Brasil","julho 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","154.34185"
"Brasil","agosto 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","160.06451"
"Brasil","setembro 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","173.93716"
"Brasil","outubro 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","181.48596"
"Brasil","novembro 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","185.14210"
"Brasil","dezembro 2009","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","135.24450"
"Brasil","janeiro 2010","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","116.44329"
"Brasil","fevereiro 2010","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","128.71449"
